price,price_for_m2,locality,street,usable_area,floor,elevator,state,state_of_real_estate,real_estate_type,type_of_ownership,balcony,basement,material,land,build_up_area
189000,29762,Bratislava III Nové Mesto,Jaskový rad,63,,False,kompletná rekonštrukcia,,2 izbový byt,predaj,False,False,,,
134900,38142,Bratislava II Vrakuňa časť Dolné hony,Toplianska,35,5/0,False,kompletná rekonštrukcia,,1 izbový byt,predaj,False,True,,,
154900,21512,Trenčín časť Kubrá,Pred poľom,72,,False,kompletná rekonštrukcia,,3 izbový byt,predaj,True,True,tehla,,
269990,35902,Bratislava V Petržalka,Ševčenkova,75,8/8,True,kompletná rekonštrukcia,,3 izbový byt,predaj,True,True,panel,,
319990,38552,Bratislava V Petržalka,Ševčenkova,83,4/8,True,kompletná rekonštrukcia,,4 izbový byt,predaj,True,True,panel,,
159990,42082,Bratislava IV Dúbravka,Saratovská,38,8/12,True,kompletná rekonštrukcia,,2 izbový byt,predaj,False,False,panel,,
246990,34302,Bratislava III Nové Mesto,Vajnorská,72,4/4,False,čiastočná rekonštrukcia,,3 izbový byt,predaj,True,False,skelet,,
219990,29912,Bratislava V Petržalka,Belinského,73,4/8,True,pôvodný,,3 izbový byt,predaj,True,False,panel,,
219990,29912,Bratislava V Petržalka,Belinského,73,4/8,True,čiastočná rekonštrukcia,,3 izbový byt,predaj,True,False,panel,,
229990,44822,Bratislava II Ružinov časť Nivy,Jégeho,51,3/7,True,novostavba,Novostavba,2 izbový byt,predaj,True,False,tehla,,
349990,40702,Bratislava II Ružinov,Šándorova,86,5/7,True,kompletná rekonštrukcia,,4 izbový byt,predaj,True,True,panel,,
209990,41172,Bratislava IV Záhorská Bystrica,Na Krčoch,51,2/5,True,novostavba,Novostavba,2 izbový byt,predaj,True,True,zmiešaný,,
194000,27212,Žilina časť Staré mesto,Sasinkova,71,3/4,False,novostavba,Novostavba,3 izbový byt,predaj,True,False,,,
218900,44262,Bratislava III Nové Mesto,Nobelova,49,5/7,False,novostavba,Novostavba,2 izbový byt,predaj,True,False,tehla,,
275000,39862,Bratislava II Ružinov,,69,1/8,True,kompletná rekonštrukcia,,3 izbový byt,predaj,False,False,,,
614999,68332,Bratislava I Staré Mesto,Dvořakovo nábrežie,90,10/12,True,novostavba,Novostavba,3 izbový byt,predaj,False,False,,,
249990,35322,Bratislava II Ružinov,Haburská,70,5/6,True,kompletná rekonštrukcia,,3 izbový byt,predaj,True,True,,,
299000,36022,Bratislava V Petržalka,Kopčianska,83,20/0,True,novostavba,Novostavba,2 izbový byt,predaj,False,False,,,
299000,45302,Malinovo,Tri vody II,66,3/3,True,novostavba,Novostavba,2 izbový byt,predaj,False,True,tehla,121,
275520,46702,Bratislava II Ružinov,Trnavská cesta,59,5/8,True,novostavba,Novostavba,2 izbový byt,predaj,True,True,,,
235000,30132,Bratislava IV Dúbravka časť Podvornice,Gallayova,78,1/0,True,kompletná rekonštrukcia,,4 izbový byt,predaj,False,False,,,
279990,41792,Bratislava III Nové Mesto,Československých parašutistov,67,,False,kompletná rekonštrukcia,,3 izbový byt,predaj,False,False,,,
220000,37292,Bratislava III Nové Mesto,Podniková,59,7/0,True,kompletná rekonštrukcia,,3 izbový byt,predaj,False,False,panel,,
,,Banská Bystrica,Majerská Cesta,57,,False,kompletná rekonštrukcia,,Apartmán,predaj,False,False,,,
61900,18212,Zvolen,J. Jesenského,34,0/8,False,kompletná rekonštrukcia,,1 izbový byt,predaj,False,False,,,
150000,35642,Bratislava II Vrakuňa,Čiližská,42,3/6,True,kompletná rekonštrukcia,,2 izbový byt,predaj,False,True,,,
395000,48172,Bratislava III Nové Mesto,Bajkalská,82,21/22,False,novostavba,Novostavba,3 izbový byt,predaj,True,False,,,
119990,34282,Bratislava II Vrakuňa,Podgaštanmi,35,,False,novostavba,Novostavba,2 izbový byt,predaj,False,False,,,
220000,37292,Bratislava III Nové Mesto,Podniková,59,7/0,True,kompletná rekonštrukcia,,2 izbový byt,predaj,False,False,panel,,
229990,22502,Malinovo,Bratislavská,102,1/3,False,novostavba,Novostavba,4 izbový byt,predaj,False,False,tehla,,
,,Košice IV Juh,Rastislavova,64,5/6,True,kompletná rekonštrukcia,,3 izbový byt,predaj,True,False,tehla,,
